ListName,Description,ListTemplate,ContentType
AudioNeed,Created From PS Script,GenericList,NMWF_AudioNeed
CrewRequest,Created From PS Script,GenericList,NMWF_CrewRequest
CRT_ShowUnit,Created From PS Script,GenericList,NMWF_CRT_ShowUnit
CRT_Talent,Created From PS Script,GenericList,NMWF_CRT_Talent
FrequentLocation,Created From PS Script,GenericList,NMWF_FrequentLocation
MWFDocument,Created From PS Script,DocumentLibrary,NMWF_MWFDocument
ProductionType,Created From PS Script,GenericList,NMWF_ProductionType
ShowUnit,Created From PS Script,GenericList,NMWF_ShowUnit
SpecialCondition,Created From PS Script,GenericList,NMWF_SpecialCondition
Story,Created From PS Script,GenericList,NMWF_Story
Talent,Created From PS Script,GenericList,NMWF_Talent
TalentType,Created From PS Script,GenericList,NMWF_TalentType
TransmissionType,Created From PS Script,GenericList,NMWF_TransmissionType
CRT_ShootDescription,Created From PS Script,GenericList,NMWF_ShootDescription
CRT_Resource,Created From PS Script,GenericList,NMWF_CRT_Resource
CRT_RevisionNotes,Created From PS Script,GenericList,NMWF_CRT_RevisionNotes
ResourceReason,Created From PS Script,GenericList,none
States,Created From PS Script,GenericList,none
Countires,Created From PS Script,GenericList,none
EditRequest,Created From PS Script,GenericList,NMWF_EditRequest
ER_ShowUnit,Created From PS Script,GenericList,NMWF_CRT_ShowUnit
Room,Created From PS Script,GenericList,NMWF_Room
Business,Created From PS Script,GenericList,none
LocationOfEdit,Created From PS Script,GenericList,none
Editor,Created From PS Script,GenericList,NMWF_Editor
FileIngest,Created From PS Script,GenericList,NMWF_FileIngest
FI_ShowUnit,Created From PS Script,GenericList,NMWF_CRT_ShowUnit
AdditionalDevices,Created From PS Script,GenericList,NMWF_AdditionalDevices
AdditionalEditor,Created From PS Script,GenericList,NMWF_AdditionalEditor
