Title,ProductionType,ProductionTypePointValue
TAPE - Interview/BRoll,TAPE - Interview/BRoll,1
TAPE - BRoll/MOS,TAPE - BRoll/MOS,1
LIVE+TAPE - Interview/BRoll/Various,LIVE+TAPE - Interview/BRoll/Various,1
LIVE - Anchor/Correspondent,LIVE - Anchor/Correspondent,2
LIVE - Coverage/Presser (No field talent),LIVE - Coverage/Presser (No field talent),1
LIVE - Bureau Cam,LIVE - Bureau Cam,1
BREAKING NEWS,BREAKING NEWS,2
FIELD EDIT,FIELD EDIT,2
LARGE REMOTE / SPECIAL EVENT,LARGE REMOTE / SPECIAL EVENT,N/A
