Title,ShowUnitTitle,DefaultBudgetCode,Business
CNBC.com,CNBC.com,,CNBC
CNBC-Coverage,CNBC-Coverage,,CNBC
First Look,First Look,,MSNBC
Generation to Generation,Generation to Generation,,MSNBC
Kate Snow,Kate Snow,,MSNBC
MS-Long Form,MS-Long Form,,MSNBC
MSNBC Specials,MSNBC Specials,,MSNBC
MSNBC.com,MSNBC.com,,MSNBC
MTP Daily,MTP Daily,,MSNBC
Way Too Early,Way Too Early,,MSNBC
10AM,10AM,,MSNBC
11AM,11AM,,MSNBC
12PM,12PM,,MSNBC
1PM,1PM,,MSNBC
2PM,2PM,,MSNBC
3PM,3PM,,MSNBC
4PM,4PM,,MSNBC
6PM,6PM,,MSNBC
9AM,9AM,,MSNBC
AM Joy,AM Joy,,MSNBC
Breaking News,Breaking News,,MSNBC
The Verge,The Verge,,MSNBC
BreakingNews.com,BreakingNews.com,,NBC News
CVG-Intl,CVG-Intl,,NBC News
Dateline,Dateline,,NBC News
Executive,Executive,,NBC News
Marketing/Agency,Marketing/Agency,,NBC News
NBCNews.com,NBCNews.com,,NBC News
Peacock Productions,Peacock Productions,,NBC News
Specials,Specials,,NBC News
tdy - Today - Events,tdy - Today - Events,,NBC News
tdy - Today.com,tdy - Today.com,,NBC News
z-oldNewsgather/Coverage,z-oldNewsgather/Coverage,,NBC News
z-TBDs,z-TBDs,,NBC News
Bravo,Bravo,,Other NBCU
E!,E!,,Other NBCU
Football Night in America,Football Night in America,,Other NBCU
Late Night,Late Night,,Other NBCU
NBC Affiliate,NBC Affiliate,,Other NBCU
NBC Ent Marketing (Agency),NBC Ent Marketing (Agency),,Other NBCU
NBC Learn,NBC Learn,,Other NBCU
NBC News Channel,NBC News Channel,,Other NBCU
NBC O&O,NBC O&O,,Other NBCU
NBC Sports,NBC Sports,,Other NBCU
Other,Other,,Other NBCU
Oxygen,Oxygen,,Other NBCU
Sprout,Sprout,,Other NBCU
SyFy,SyFy,,Other NBCU
Telemundo,Telemundo,,Other NBCU
Tonight Show,Tonight Show,,Other NBCU
USA,USA,,Other NBCU
Weekend Sports,Weekend Sports,,Other NBCU
Alex Witt,Alex Witt,T-WIXX1002.J077,MSNBC
All In,All In,T-DRXX1002.J077,MSNBC
Andrea Mitchell Reports,Andrea Mitchell Reports,T-AMXX1002.J077,MSNBC
Early tdy - Today,Early tdy - Today,T-ETXX1002.J077,MSNBC
Hardball,Hardball,T-HBXX1002.J077,MSNBC
Jose Diaz-Balart,Jose Diaz-Balart,T-9AXX1002.J077,MSNBC
Last Word,Last Word,T-LDXX1002.J077,MSNBC
Melissa Harris-Perry,Melissa Harris-Perry,T-MPXX1002.J077,MSNBC
Morning Joe,Morning Joe,T-MJXX1002.J077,MSNBC
MSNBC Politics,MSNBC Politics,NM-S16.001,MSNBC
Newsforce,Newsforce,T-NFXX1002.J077,MSNBC
NewsNation,NewsNation,T-NNXX1002.J077,MSNBC
Politics Nation,Politics Nation,T-RWXX1002.J077,MSNBC
Rachel Maddow,Rachel Maddow,T-MAXX1002.J077,MSNBC
Thomas Roberts Live,Thomas Roberts Live,T-1PXX1002.J077,MSNBC
Up w/ Steve Kornacki,Up w/ Steve Kornacki,T-CHXX1002.J077,MSNBC
Your Business,Your Business,T-YBXX1002.J077,MSNBC
Z-Ed Show,Z-Ed Show,T-EDXX1002.J077,MSNBC
Z-Now with Alex Wagner,Z-Now with Alex Wagner,T-NOXX1002.J077,MSNBC
Z-Reid Report,Z-Reid Report,T-RRXX1002.J077,MSNBC
Z-Ronan Farrow,Z-Ronan Farrow,T-RNXX1002.J077,MSNBC
Z-The Cycle,Z-The Cycle,T-DRXX1002.J077,MSNBC
CVG-MidWest,CVG-MidWest,NG-CDMW16,NBC News
CVG-NorthEast,CVG-NorthEast,NG-CDNE16,NBC News
CVG-South,CVG-South,NG-CDSE16,NBC News
CVG-SouthWest,CVG-SouthWest,NG-CDSW16,NBC News
CVG-WashDC,CVG-WashDC,NG-CDWA16,NBC News
CVG-West,CVG-West,NG-CDWE16,NBC News
Investigative Unit,Investigative Unit,J0A203333,NBC News
Meet the Press,Meet the Press,J0A203130,NBC News
Nightly News,Nightly News,J0A203080,NBC News
Politics,Politics,NG-SPPL1503,NBC News
Pools,Pools,NG-CDWP,NBC News
Rossen Investigative,Rossen Investigative,NP-IVST.2015,NBC News
TDY - Today 7a & 8a,TDY -Today 7a & 8a,J0A203000,NBC News
TDY - Today 9a & 10a,TDY - Today 9a & 10a,J0A203000,NBC News
Weekend Nightly News,Weekend Nightly News,J0A203090,NBC News
Weekend tdy - Today,Weekend tdy - Today,J0A203010,NBC News
Meredith Vieira Show,Meredith Vieira Show,WT-10005.96,Other NBCU
Weather Channel,Weather Channel,J0W809995,Other NBCU
